title,company_name,location_display,salary_min,salary_max,category_label,contract_type,created,search_keyword,search_location
Senior Data Engineer,Kaino,"8ème Arrondissement, Paris",70000.0,75000.0,Unknown,permanent,2025-07-02T17:39:00Z,data engineer,paris
Data Engineer Senior,Bluecoders,"8ème Arrondissement, Paris",55000.0,60000.0,Unknown,permanent,2025-07-10T18:25:33Z,data engineer,paris
Data Engineer GCP Senior F/H/X,Eleven Labs,"Paris, Ile-de-France",,,Unknown,,2025-07-20T09:19:26Z,data engineer,paris
Big Data Engineer,Nexa Forward,"Paris, Ile-de-France",40000.0,45000.0,Emplois Consultants,,2025-03-13T10:53:34Z,data engineer,paris
Data Engineer - Tech,Happy Hire,"Paris, Ile-de-France",,,Unknown,,2025-03-31T20:48:34Z,data engineer,paris
Senior Data Engineer,Predictice,"3ème Arrondissement, Paris",,,Emplois Comptabilité et Finance,,2025-06-20T22:24:44Z,data engineer,paris
Data Engineer GCP,Sfeir,"Paris, Ile-de-France",,,Unknown,,2025-02-21T17:09:12Z,data engineer,paris
Senior Data Engineer,WeWard,"2ème Arrondissement, Paris",,,Unknown,,2025-06-06T23:04:11Z,data engineer,paris
First Data Engineer,Upway,"1er Arrondissement, Paris",,,Emplois Distribution et Entrepôts,,2025-07-19T12:54:05Z,data engineer,paris
Senior Data Engineer,Sancare,"1er Arrondissement, Paris",,,Unknown,,2025-03-08T14:04:49Z,data engineer,paris
Junior Data Engineer,DoubleVerify,"Paris, Ile-de-France",,,"Emplois RP, Publicité et Marketing",,2025-07-20T13:12:01Z,data engineer,paris
Senior Data Engineer,Pretto,"Paris, Ile-de-France",,,Unknown,,2025-07-02T17:06:40Z,data engineer,paris
Senior Data Engineer,Finary,"Paris, Ile-de-France",,,Unknown,,2025-05-17T21:44:50Z,data engineer,paris
Senior Data Engineer,GitGuardian,"2ème Arrondissement, Paris",,,Unknown,,2025-07-10T22:58:00Z,data engineer,paris
Software/Data Engineer,Paylead,"9ème Arrondissement, Paris",48000.0,52000.0,Emplois Informatique,,2025-07-09T23:04:49Z,data engineer,paris
Data Engineer Dataiku,EASEL TECH,"Paris, Ile-de-France",,,Emplois Informatique,permanent,2025-06-20T01:40:17Z,data engineer,paris
Data engineer - f/h - Ingéniance,Ingéniance,"Paris, Ile-de-France",,,Unknown,,2025-04-20T13:33:38Z,data engineer,paris
Cloud & Data Engineer,Sfeir,"Paris, Ile-de-France",,,Unknown,,2024-07-30T23:50:36Z,data engineer,paris
Data Engineer / Data Intégrateur Confirmé,Mp Data,"1er Arrondissement, Paris",48000.0,52000.0,Unknown,,2025-07-08T17:57:59Z,data engineer,paris
Stagiaire Data Engineer -Data Scientist,Arte Charpentier,"2ème Arrondissement, Paris",,,Unknown,,2025-06-07T22:22:02Z,data engineer,paris
Senior Data Engineer/Big Data,Alter Solutions,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-17T18:36:03Z,data engineer,paris
Data Engineer H/F,NEXTON,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-26T07:38:15Z,data engineer,paris
Data Engineer H/F,Blute@ms Technology,"18ème Arrondissement, Paris",,,Emplois Informatique,,2025-07-19T10:46:57Z,data engineer,paris
Data Engineer H/F,IT MAKERS,"Paris, Ile-de-France",600.0,700.0,Emplois Distribution et Entrepôts,,2025-07-18T10:17:20Z,data engineer,paris
Data Engineer H/F,Informatis,"Paris, Ile-de-France",,,Unknown,,2025-05-03T06:56:41Z,data engineer,paris
DATA ENGINEER PYTHON (IT),KEONI CONSULTING,"Paris, Ile-de-France",100.0,400.0,Emplois Informatique,contract,2025-07-18T11:03:03Z,data engineer,paris
Data Engineer H/F,Revolv,"13ème Arrondissement, Paris",,,Emplois Informatique,,2025-07-18T09:49:07Z,data engineer,paris
Data Engineer confirmé(e),Les Sherpas,"10ème Arrondissement, Paris",,,Emplois Fabrication,,2025-05-26T22:00:36Z,data engineer,paris
Data Engineer H/F,Consort Group,"Paris, Ile-de-France",,,Emplois Autres/Général,,2025-07-22T09:36:30Z,data engineer,paris
DATA ENGINEER F/H,Groupe Revue Fiduciaire,"Paris, Ile-de-France",,,"Emplois RP, Publicité et Marketing",permanent,2025-06-28T08:19:58Z,data engineer,paris
Data Engineer H/F,Lydia,"Paris, Ile-de-France",,,Unknown,,2025-05-09T05:43:16Z,data engineer,paris
Consultant Data Engineer Confirmé,Seenovate,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-08T09:50:16Z,data engineer,paris
Data Engineer Senior - Spark,Pulsover,"2ème Arrondissement, Paris",,,Unknown,,2024-11-28T13:44:47Z,data engineer,paris
Back-End & Data Engineer,Vianova,"9ème Arrondissement, Paris",45000.0,65000.0,Unknown,,2025-07-20T13:07:02Z,data engineer,paris
Data Engineer H/F,Printemps,"Paris, Ile-de-France",,,Unknown,,2025-07-13T23:13:56Z,data engineer,paris
Data Engineer H/F,Ogury,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-16T09:35:40Z,data engineer,paris
Data Engineer H/F,SIBYLONE,"Paris, Ile-de-France",50000.0,62000.0,Emplois Informatique,,2025-02-04T19:45:20Z,data engineer,paris
Data Engineer F/H,SOMA GROUP,"Paris, Ile-de-France",45000.0,60000.0,Emplois Consultants,permanent,2025-07-02T06:51:05Z,data engineer,paris
Data engineer H/F,BOMZAI,"Paris, Ile-de-France",45000.0,65000.0,Emplois Informatique,,2025-07-05T09:45:28Z,data engineer,paris
Data Engineer H/F,BOMZAI,"Paris, Ile-de-France",45000.0,65000.0,Emplois Informatique,,2025-06-24T08:27:50Z,data engineer,paris
Data Engineer H/F,Ogury,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-16T09:35:36Z,data engineer,paris
Data Engineer H/F,Serpinet Conseil,"Paris, Ile-de-France",,,Unknown,,2025-07-02T13:26:06Z,data engineer,paris
Databricks Data Engineer - Reply,Reply,"Paris, Ile-de-France",,,Unknown,,2025-02-07T15:49:27Z,data engineer,paris
Data Engineer - Alternance - Paris,Mobsuccess Group,"2ème Arrondissement, Paris",,,Unknown,contract,2025-07-09T23:08:45Z,data engineer,paris
Data Engineer H/F,Kent,"Paris, Ile-de-France",50000.0,55000.0,Emplois Informatique,,2025-07-10T09:58:57Z,data engineer,paris
Data Engineer H/F,Wewyse,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-03T06:50:13Z,data engineer,paris
Data Engineer H/F,EASEL TECH,"Paris, Ile-de-France",,,Emplois Informatique,permanent,2025-06-20T20:30:52Z,data engineer,paris
Lead Data Engineer Senior,PROPULSE IT,"8ème Arrondissement, Paris",,,Emplois Informatique,permanent,2025-07-11T01:48:34Z,data engineer,paris
Data Engineer - H/F,Margo,"Paris, Ile-de-France",,,Emplois Consultants,,2025-03-22T11:52:14Z,data engineer,paris
Data Engineer H/F,Margo Conseil,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-21T08:08:36Z,data engineer,paris
Data Engineer (H/F),Treezor,"17ème Arrondissement, Paris",,,Unknown,,2025-06-19T05:36:48Z,data engineer,paris
Data Engineer (H/F),Daveo,"9ème Arrondissement, Paris",,,Unknown,,2025-07-10T23:12:24Z,data engineer,paris
Data Engineer H/F,VusionGroupSA,"Paris, Ile-de-France",,,Emplois Informatique,,2025-04-09T05:05:59Z,data engineer,paris
Data Engineer H/F,Capfi,"Paris, Ile-de-France",,,Unknown,,2025-03-10T17:30:16Z,data engineer,paris
Data Engineer / Developper Python,QuickSign,"2ème Arrondissement, Paris",,,Emplois Comptabilité et Finance,,2025-06-28T23:09:15Z,data engineer,paris
Data Engineer (H/F),Ecov,"12ème Arrondissement, Paris",,,Unknown,,2025-07-19T12:52:27Z,data engineer,paris
Data Engineer - Confirmé.e,Jakala,"11ème Arrondissement, Paris",,,Unknown,,2025-03-11T17:25:21Z,data engineer,paris
Data Engineer H/F,Yubo,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-16T09:35:36Z,data engineer,paris
Data Engineer H/F,Ippon Technologies,"Paris, Ile-de-France",,,Unknown,,2024-07-30T23:46:53Z,data engineer,paris
Data Engineer - NSI France,NSI France,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-07-03T14:32:36Z,data engineer,paris
Data Engineer H/F,BPCE Solutions informatiques,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-06-20T07:20:04Z,data engineer,paris
Data Engineer (H/F),Allphins,"9ème Arrondissement, Paris",60000.0,80000.0,Unknown,,2024-10-10T14:26:35Z,data engineer,paris
Data Engineer H/F,Action Logement,"Paris, Ile-de-France",,,Unknown,,2025-06-11T22:24:56Z,data engineer,paris
Data Engineer (H/F),Capfi,"Paris, Ile-de-France",,,Unknown,,2025-04-13T21:27:45Z,data engineer,paris
Data Engineer H/F,Astek,"Paris, Ile-de-France",,,Unknown,,2025-02-04T19:44:50Z,data engineer,paris
Data Engineer & Data Architect - Confirmé·e,Jakala,"11ème Arrondissement, Paris",,,Unknown,,2025-05-28T22:05:57Z,data engineer,paris
Data Engineer H/F,Nexton,"Paris, Ile-de-France",,,Emplois Autres/Général,,2025-07-16T09:35:36Z,data engineer,paris
Lead Cloud & Data Engineer,Sfeir,"Paris, Ile-de-France",,,Unknown,,2024-07-30T23:46:02Z,data engineer,paris
"Data Engineer, Software Development",Iress,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-14T22:28:19Z,data engineer,paris
Senior Data Engineer @ Entalpic,Breega,"2ème Arrondissement, Paris",,,Unknown,,2025-04-30T04:49:22Z,data engineer,paris
 Data Engineer - Mobile Game,Village People Games,"17ème Arrondissement, Paris",,,Unknown,,2025-06-16T22:38:24Z,data engineer,paris
Data Engineer H/F,LUTESSA,"2ème Arrondissement, Paris",,,Emplois Informatique,contract,2025-05-28T20:01:52Z,data engineer,paris
Data Engineer H/F,Lutessa,"Paris, Ile-de-France",50000.0,55000.0,Emplois Informatique,,2025-05-28T06:41:51Z,data engineer,paris
Data Engineer H/F,Meritis,"Paris, Ile-de-France",,,Unknown,,2025-02-04T19:44:46Z,data engineer,paris
Data Engineer H/F,BPCE Solutions informatiques,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-06-20T07:20:07Z,data engineer,paris
Stage - Data Engineer - Septembre 2025,Sienna Investment Managers,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-28T07:37:26Z,data engineer,paris
Relocate to Malta Data Engineer,Black Pen Recruitment,"Paris, Ile-de-France",,,Unknown,,2025-07-05T20:36:48Z,data engineer,paris
Data Engineer - Data Analyst - Alternance H/F,Digital School of Paris,"Paris, Ile-de-France",1000.0,2000.0,Unknown,,2025-07-17T10:12:35Z,data engineer,paris
Data Engineer Aws H/F,Nexton,"Paris, Ile-de-France",,,Emplois Autres/Général,,2025-07-16T09:35:37Z,data engineer,paris
Data engineer Python / Pyspark (IT),K2 Partnering Solutions,"Paris, Ile-de-France",400.0,450.0,Emplois Informatique,contract,2025-07-17T23:08:18Z,data engineer,paris
Stagiaire Data Engineer H/F,Redpill,"8ème Arrondissement, Paris",,,Unknown,,2025-05-18T21:43:43Z,data engineer,paris
Data Engineer Alternance H/F,DSTI School of Engineering,"Paris, Ile-de-France",,,Emplois Informatique,,2025-02-04T19:46:27Z,data engineer,paris
Senior Data Engineer / Analytics Engineer,Reflect,"9ème Arrondissement, Paris",55000.0,80000.0,"Emplois RP, Publicité et Marketing",,2025-05-16T21:46:29Z,data engineer,paris
Data Engineer - Alternance H/F,Institut F2I,"Paris, Ile-de-France",480.0,1800.0,Unknown,,2025-04-08T04:43:29Z,data engineer,paris
Data Engineer - Analyst H/F,NYOU,"Paris, Ile-de-France",50000.0,60000.0,Emplois Informatique,,2025-06-26T07:35:02Z,data engineer,paris
Senior AWS Data Engineer - Reply,Reply,"Paris, Ile-de-France",,,Unknown,,2025-06-20T17:38:52Z,data engineer,paris
Freelance - Sr. Azure Data Engineer,Lenstra,"8ème Arrondissement, Paris",,,Emplois Consultants,contract,2025-06-01T22:00:42Z,data engineer,paris
Senior Data Engineer - Start-up,Happy Hire,"Paris, Ile-de-France",,,Unknown,,2025-03-31T20:53:38Z,data engineer,paris
Back-End & Data Engineer [internship],Vianova,"9ème Arrondissement, Paris",1000.0,1500.0,Unknown,,2025-07-19T12:52:39Z,data engineer,paris
Senior Data Engineer H/F,Havana IT & Apps,"Paris, Ile-de-France",,,Unknown,,2025-04-12T04:54:27Z,data engineer,paris
Senior Data Engineer H/F,NYOU,"Paris, Ile-de-France",450.0,500.0,Emplois Informatique,,2025-06-17T08:20:34Z,data engineer,paris
Data engineer LLM (H/F),Direction Générale de la Sécurité Extérieure,"1er Arrondissement, Paris",,,Unknown,,2025-07-07T17:40:20Z,data engineer,paris
Senior Data Engineer - Paris/Montpellier,Swile,"Paris, Ile-de-France",,,Unknown,,2025-02-08T14:27:07Z,data engineer,paris
Senior Data Engineer F/H,Skillup.co,"10ème Arrondissement, Paris",,,Unknown,,2025-02-21T17:26:10Z,data engineer,paris
Alternance Data Engineer H/F,PSTB,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-19T10:39:50Z,data engineer,paris
Senior Data Engineer (H/F),H/F,"Paris, Ile-de-France",,,Emplois Informatique,,2025-01-28T14:22:25Z,data engineer,paris
Senior Data Engineer-H/F,Twenty One Talents,"1er Arrondissement, Paris",50000.0,65000.0,Unknown,,2025-03-19T11:43:04Z,data engineer,paris
Senior Data Engineer-H/F,Twenty One Talents,"Paris, Ile-de-France",56000.0,65000.0,Unknown,,2025-01-16T14:15:39Z,data engineer,paris
Data Engineer - Dataops H/F,Talan,"Paris, Ile-de-France",,,Unknown,,2025-04-07T03:20:44Z,data engineer,paris
Senior Data Engineer H/F,VusionGroupSA,"Paris, Ile-de-France",,,Emplois Informatique,,2025-02-04T20:15:17Z,data engineer,paris
Lead Data Engineer H/F,Ippon Technologies,"Paris, Ile-de-France",,,Unknown,,2025-03-26T20:24:30Z,data engineer,paris
Data Engineer M H/F,HelloFresh,"Paris, Ile-de-France",,,Emplois Vente,,2025-05-20T05:58:54Z,data engineer,paris
Data Engineer - ETL Semarchy xDI,Twenty One Talents,"1er Arrondissement, Paris",,,Unknown,,2025-06-19T22:23:46Z,data engineer,paris
Data Engineer Confirmé H/F,Extia,"Paris, Ile-de-France",40000.0,50000.0,Unknown,,2025-06-06T06:51:21Z,data engineer,paris
Senior Data Engineer H/F,GitGuardian,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-16T09:35:39Z,data engineer,paris
Data Engineer Confirmé F/H,padoa,"Paris, Ile-de-France",,,Emplois Ingénierie,permanent,2025-07-17T02:41:53Z,data engineer,paris
DATA ENGINEER - (H/F) - CDI,CNP Assurance Protection sociale,"13ème Arrondissement, Paris",45000.0,55000.0,Emplois Informatique,permanent,2025-07-22T02:45:05Z,data engineer,paris
CDI - Data Engineer H/F,Ami Paris,"Paris, Ile-de-France",,,Emplois Vente,,2025-04-24T05:43:57Z,data engineer,paris
Senior Data Engineer - Revenue Platforms,Datadog,"Paris, Ile-de-France",,,Unknown,,2025-03-04T17:09:48Z,data engineer,paris
Senior Data Engineer H/F,Winamax,"Paris, Ile-de-France",,,Emplois Informatique,,2025-02-04T19:55:30Z,data engineer,paris
Stage - Data Engineer (H/F),Safran.AI,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-07T22:17:56Z,data engineer,paris
Senior Data Engineer H/F,Pretto,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-07-01T07:21:29Z,data engineer,paris
Data Engineer Servicenow H/F,Citech,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-19T10:46:57Z,data engineer,paris
Data Engineer IA H/F,Talent Pool,"Paris, Ile-de-France",35000.0,80000.0,Emplois Informatique,,2025-06-18T07:21:53Z,data engineer,paris
Consultant.e Data Engineer Paris,The Information Lab,"9ème Arrondissement, Paris",40000.0,40000.0,Emplois Consultants,,2025-05-28T22:03:34Z,data engineer,paris
Data Engineer Dataiku H/F,EASEL TECH,"Paris, Ile-de-France",,,Emplois Informatique,contract,2025-06-20T20:30:50Z,data engineer,paris
Data Engineer Senior H/F,HN Services,"Paris, Ile-de-France",,,Emplois Informatique,,2025-05-22T06:06:45Z,data engineer,paris
Data Engineer Confirmé H/F,Extia,"Paris, Ile-de-France",40000.0,50000.0,Unknown,,2025-07-05T13:20:16Z,data engineer,paris
Data Engineer Gcp H/F,Apside,"Paris, Ile-de-France",,,Unknown,,2025-02-04T19:44:50Z,data engineer,paris
Alternant Data Engineer Big Data H/F,SOMA,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-04T14:15:16Z,data engineer,paris
ML & Data Engineer - GenAI & Cloud Infra - Pur Player Data IA ML ?? - H/F,WAKE IT UP,"Paris, Ile-de-France",70000.0,70000.0,Unknown,permanent,2025-07-17T11:14:28Z,data engineer,paris
Senior Data Engineer - Data Platform Remote H/F,Penny Lane,"Paris, Ile-de-France",,,Emplois Informatique,,2025-05-21T07:21:14Z,data engineer,paris
Data Engineer Gcp Expérimenté H/F,Nexton,"Paris, Ile-de-France",,,Emplois Autres/Général,,2025-07-16T09:35:37Z,data engineer,paris
Data Engineer Spark - Hadoop H/F,DGTL Performance,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-17T10:03:24Z,data engineer,paris
Data Engineer-Hadoop-Scala-Spark (IT),AVALIANCE,"Paris, Ile-de-France",400.0,550.0,Emplois Informatique,contract,2025-07-08T22:10:15Z,data engineer,paris
Lead Data Engineer GCP (H/F),LittleBigCode,"17ème Arrondissement, Paris",,,Unknown,,2025-03-10T17:36:54Z,data engineer,paris
Lead Data Engineer Senior H/F,Propulse It,"Paris, Ile-de-France",,,Emplois Autres/Général,,2025-07-11T09:40:24Z,data engineer,paris
Consultant.e Data engineer confirmé.e,Kanbios,"5ème Arrondissement, Paris",,,Emplois Consultants,,2024-07-30T23:54:29Z,data engineer,paris
Senior Data Engineer - n H/F,Believe,"Paris, Ile-de-France",,,Unknown,,2025-02-04T20:15:26Z,data engineer,paris
Data Engineer Senior (H/F/X),Qwant,"17ème Arrondissement, Paris",,,Emplois Distribution et Entrepôts,,2025-06-18T22:29:23Z,data engineer,paris
Paris - Data Engineer Sénior H/F,Hardis Group,"Paris, Ile-de-France",,,Unknown,,2025-02-27T05:40:09Z,data engineer,paris
DATA ENGINEER GCP x PYTHON (IT),UCASE CONSULTING,"Paris, Ile-de-France",40000.0,45000.0,Emplois Informatique,permanent,2025-07-18T23:04:47Z,data engineer,paris
LEAD DATA ENGINEER - F/H - CDI,CNP Assurance Protection sociale,"13ème Arrondissement, Paris",,,Emplois Informatique,permanent,2025-07-22T02:45:09Z,data engineer,paris
Data Engineer (Spark / Hadoop) H/F,DGTL Performance,"Paris, Ile-de-France",,,Emplois Informatique,contract,2025-07-17T00:38:23Z,data engineer,paris
Data Engineer confirmé Databricks F/H,Forums Talents Handicap,"Paris, Ile-de-France",,,Emplois Informatique,permanent,2025-07-18T13:18:38Z,data engineer,paris
Lead Data Engineer Senior H/F,PROPULSE IT,"8ème Arrondissement, Paris",,,Emplois Informatique,contract,2025-07-11T00:36:28Z,data engineer,paris
Junior Data Engineer en Stage H/F,APRIL,"12ème Arrondissement, Paris",,,Unknown,,2025-07-05T14:19:08Z,data engineer,paris
Data Scientist - Data Engineer H/F,Havea,"Paris, Ile-de-France",,,Unknown,,2025-05-29T06:43:30Z,data engineer,paris
Consultant Data Engineer Confirmé F/H,SEENOVATE,"16ème Arrondissement, Paris",,,Emplois Informatique,permanent,2025-07-09T02:40:27Z,data engineer,paris
Data Engineer Confirmé Databricks H/F,Inetum,"Paris, Ile-de-France",,,Unknown,,2025-03-29T09:00:34Z,data engineer,paris
Analytics Engineer / Data Engineer F/H,URGO,"Paris, Ile-de-France",,,"Emplois RP, Publicité et Marketing",,2025-06-27T23:01:04Z,data engineer,paris
"Data Engineer (TALEND, SPARK, JAVA) (IT)",CAT-AMANIA,"Paris, Ile-de-France",40000.0,57000.0,Emplois Informatique,permanent,2025-07-04T02:27:23Z,data engineer,paris
Data Engineer - Services Financiers F/H,CGI,"Paris, Ile-de-France",,,Emplois Comptabilité et Finance,,2025-06-20T22:38:34Z,data engineer,paris
Data Engineer Azure Databricks F/H,ALESIA CONSEIL,"Paris, Ile-de-France",47000.0,47000.0,Emplois Consultants,permanent,2025-07-08T07:07:17Z,data engineer,paris
Lead Data Engineer (H/F) - CDI,QuickSign,"2ème Arrondissement, Paris",,,Emplois Comptabilité et Finance,,2025-06-22T22:28:58Z,data engineer,paris
Data Engineer - Services Financiers F/H,CGI,"Paris, Ile-de-France",,,Emplois Création et Design,,2025-02-25T17:35:29Z,data engineer,paris
Data Engineer Msbi - CDI H/F,Talan,"Paris, Ile-de-France",,,Unknown,,2025-02-04T19:44:42Z,data engineer,paris
Senior Chef de Projet Data H/F,Team.is,"Paris, Ile-de-France",55000.0,65000.0,Emplois Informatique,,2025-07-12T09:59:15Z,data engineer,paris
Product Owner Data H/F,Team.is,"Paris, Ile-de-France",55000.0,65000.0,Emplois Informatique,,2025-07-12T09:59:15Z,data engineer,paris
Data Engineer - Data Analyst - Data Scientist - Alternance H/F,Institut F2I,"Paris, Ile-de-France",,,Unknown,,2025-07-18T09:14:36Z,data engineer,paris
Data Engineer / Data Analyst / Data Scientist (H/F) - Alternance,Institut F2I,"Paris, Ile-de-France",,,Unknown,,2025-07-17T00:55:50Z,data engineer,paris
Senior Data Engineer – Python / Big Data / AWS (IT),Gentis Recruitment SAS,"Paris, Ile-de-France",40000.0,80000.0,Emplois Informatique,permanent,2025-06-17T14:43:20Z,data engineer,paris
Data Engineer Python & collibra (data Gouvernance project) (IT),KUBE Partners S.L. / Pixie Services,"Paris, Ile-de-France",,,Emplois Informatique,contract,2025-07-03T02:26:25Z,data engineer,paris
Data Engineer Databricks Senior - H/F - CDI,Talan,"Paris, Ile-de-France",,,Emplois Informatique,,2025-06-27T07:38:15Z,data engineer,paris
Data Engineer Databricks confirmé - H/F - CDI,Talan,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-02T01:22:24Z,data engineer,paris
Data Engineer DataIku - Services Financiers – Ile-de-France,Sopra Steria,"Paris, Ile-de-France",,,Emplois Ingénierie,,2025-07-01T01:39:35Z,data engineer,paris
Data Engineer - PySpark - Services Financiers - Ile de France,Sopra Steria,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-01T01:39:35Z,data engineer,paris
Big Data Engineer - Services Financiers - Ile de France,Sopra Steria,"Paris, Ile-de-France",,,Emplois Informatique,,2025-07-15T18:29:01Z,data engineer,paris
Data Engineer PySpark - Data Factory - Services Financiers - Ile de France,Forums Talents Handicap,"Paris, Ile-de-France",,,Emplois Informatique,permanent,2025-07-18T13:18:34Z,data engineer,paris
